Month,Net Income,Assets,Equity
200012,11961,2031704,144570
200101,1575,2055188,145763
200102,2261,2084830,149870
200103,4938,2056695,148310
200104,6163,2081879,150096
200105,8957,2118365,153082
200106,9691,2132420,153940
200107,9028,2226432,153226
200108,10654,2287704,154084
200109,10111,2254975,153942
200110,9776,2312307,154165
200111,11231,2307765,150196
200112,11509,2286120,150961
200201,2276,2323268,152477
200202,3615,2287075,164213
200203,6829,2305574,165096
200204,8862,2262223,160167
200205,10259,2309851,158893
200206,11038,2399050,159458
200207,12971,2298486,161969
200208,15784,2287547,165687
200209,16605,2339723,166048
200210,18674,2370007,183571
200211,11740,2423197,178018
200212,12512,2363354,186853
200301,3309,2274997,187961
200302,5487,2325091,191163
200303,8013,2393019,195399
200304,11733,2456799,198470
200305,15109,2384950,203154
200306,15364,2382485,202063
200307,17555,2408823,203711
200308,20287,2484706,207475
200309,22853,2469204,211626
200310,26487,2487824,215044
200311,28124,2489299,215253
200312,31648,2495348,212217
200401,3700,2564490,217097
200402,4980,2589572,218869
200403,9139,2611628,222408
200404,9883,2538678,222718
200405,12287,2559099,224841
200406,13729,2668352,225888
200407,15024,2603304,227057
200408,17704,2645411,224075
200409,20684,2691812,225190
200410,24263,2761804,229840
200411,26943,2852606,232141
200412,30436,2820070,234858
200501,4440,2868592,239344
200502,8221,2899766,242399
200503,11589,2885861,245515
200504,16692,2886001,249208
200505,21671,2970752,257181
200506,25432,2962293,260746
200507,30157,3019314,265166
200508,37163,3126304,273948
200509,36705,3090987,266375
200510,41483,3133332,270420
200511,47179,3282614,274274
200512,52538,3218336,282063
200601,5598,3345606,288611
200602,10627,3366460,288859
200603,15710,3337044,291079
200604,20590,3349921,290218
200605,24473,3525571,293026
200606,31331,3516796,300741
200607,40318,3418524,310892
200608,47647,3487019,318383
200609,53583,3560285,325299
200610,60306,3573176,331558
200611,68890,3703171,340039
200612,75370,3651317,347266
200701,3602,3890328,353410
200702,8570,3820284,358878
200703,16563,3773598,368655
200704,20348,3855802,371725
200705,25598,4008778,377773
200706,32145,3949955,367945
200707,38742,4073944,374298
200708,44637,4041728,380771
200709,54507,4042855,392174
200710,61374,4266034,399233
200711,68495,4241584,406176
200712,79225,4244874,407901
200801,8271,4377043,417079
200802,14453,4291380,423514
200803,22180,4360847,431814
200804,24514,4440436,418340
200805,26972,4525858,420921
200806,30161,4502716,426194
200807,34790,4524642,430046
200808,42265,4531718,438554
200809,45304,4549773,439818
200810,42153,4311470,434948
200811,44021,4390471,438734
200812,55935,4434769,453185
200901,7263,4473492,463490
200902,9129,4880641,461834
200903,17744,4886822,472990
200904,24487,4848709,478534
200905,28366,4831137,483336
200906,32388,4759542,486077
200907,37537,4907384,492544
200908,41667,4810057,479851
200909,48785,4960044,485658
200910,53485,4863223,499127
200911,57735,4811748,507093
200912,62191,4719727,515851
201001,7456,4736836,524359
201002,12646,4812515,530572
201003,20179,4839701,539881
201004,24928,4886186,544251
201005,31813,4965959,553408
201006,37282,5002573,546780
201007,44107,4912467,554228
201008,50338,5112365,560192
201009,57793,5227020,567477
201010,62952,5092360,573168
201011,67509,5108253,575803
201012,74254,5189491,556423
201101,6687,5240802,561464
201102,11637,5207861,561570
201103,16495,5360504,557655
201104,22170,5378598,563269
201105,28109,5388315,569941
201106,35047,5593200,569320
201107,40858,5580300,577018
201108,46104,5676750,580353
201109,52530,5714171,580818
201110,57839,5724857,586637
201111,62827,5900419,583622
201112,72270,5802608,596859
201201,9878,5846044,607317
201202,15608,5807525,597516
201203,22279,5807413,607094
201204,28026,5914509,610760
201205,35182,5983397,618257
201206,43532,5998331,621554
201207,51750,5954713,629055
201208,58408,5918557,628725
201209,65700,5950519,631313
201210,72284,6070565,632343
201211,78291,6140739,632750
201212,86689,6025910,636171
201301,16838,6108901,657741
201302,22859,6157257,668876
201303,30101,6113557,676472
201304,36258,6317075,677897
201305,45789,6305658,677079
201306,52375,6255501,674909
201307,58951,6237538,680944
201308,66732,6327973,678566
201309,76523,6316139,689933
201310,84147,6466125,688706
201311,95213,6407865,691545
201312,104388,6556064,675816
201401,6682,6642724,683525
201402,14605,6573079,689483
201403,22281,6763268,699717
201404,28037,6927157,704249
201405,34562,6959240,708409
201406,47169,6967410,722720
201407,57193,6979107,731625
201408,64712,7004846,734081
201409,71212,7078697,737432
201410,76986,7176252,744906
201411,84473,7250972,749406
201412,92714,6913222,752661
201501,8372,7223455,762886
201502,15542,7168194,765492
201503,25685,7364899,774752
201504,33508,7326888,774486
201505,42207,7447467,777837
201506,53862,7383917,793230
201507,60872,7568559,801483
201508,66417,7636792,802387
201509,74567,7839080,806538
201510,84390,7681409,816268
201511,90538,7651266,815505
201512,98808,7770086,810303
201601,8049,8079149,823814
201602,17471,8117614,821210
201603,26947,8115609,831576
201604,37001,8016531,834677
201605,46295,8052468,842037
201606,54247,8198876,852679
201607,63249,8065506,862189
201608,72374,8205005,865520
201609,79352,8251990,870135
201610,90502,8137037,870612
201611,97873,8770700,871889
201612,107583,8667759,860449
201701,14509,8826892,876401
201702,23459,8658083,873637
201703,35583,8500658,888049
201704,45531,8691526,889895
201705,56363,8758262,887567
201706,68355,8589975,903727
201707,78408,8450819,913463
201708,89582,8566569,918791
201709,100852,8678574,928196
201710,110927,8957789,935420
201711,125143,8940663,949836
201712,138324,9023185,937162
201801,13178,9048549,952051
201802,24230,9207631,956979
201803,37844,9099603,973556
201804,49488,9229621,979141
201805,63479,9566781,983212
201806,78283,9496976,994531
201807,89246,9258498,975837
201808,102026,9210449,985574
201809,114959,9226370,995827
201810,127429,9739516,1001175
201811,139925,9776668,1010122
201812,157794,9567234,1022740
201901,16697,9496423,1040545
201902,28299,9549699,1055521
201903,42586,9563931,1061819
201904,54217,9652113,1028557
201905,67726,9870817,1031074
201906,82094,9774425,1040305
201907,96647,9761287,1053056
201908,109499,10158481,1061569
201909,122570,9872497,1067008
201910,135159,10029437,1079236
201911,148984,10057556,1089532
201912,163563,9828587,1082331
